num is 218
Operation: S, Address: 600aa0, Size: 1
Operation: S, Address: ff000398, Size: 8
Operation: S, Address: ff000390, Size: 8
Operation: S, Address: ff000378, Size: 8
Operation: S, Address: ff000370, Size: 8
Operation: S, Address: ff000384, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: S, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff000378, Size: 8
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: 600a20, Size: 4
Operation: S, Address: ff00038c, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000370, Size: 8
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff00038c, Size: 4
Operation: S, Address: 600a60, Size: 4
Operation: M, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff000378, Size: 8
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: 600a24, Size: 4
Operation: S, Address: ff00038c, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000370, Size: 8
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff00038c, Size: 4
Operation: S, Address: 600a70, Size: 4
Operation: M, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff000378, Size: 8
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: 600a28, Size: 4
Operation: S, Address: ff00038c, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000370, Size: 8
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff00038c, Size: 4
Operation: S, Address: 600a80, Size: 4
Operation: M, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff000378, Size: 8
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: 600a2c, Size: 4
Operation: S, Address: ff00038c, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000370, Size: 8
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff00038c, Size: 4
Operation: S, Address: 600a90, Size: 4
Operation: M, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: M, Address: ff000384, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: S, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff000378, Size: 8
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: 600a30, Size: 4
Operation: S, Address: ff00038c, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000370, Size: 8
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff00038c, Size: 4
Operation: S, Address: 600a64, Size: 4
Operation: M, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff000378, Size: 8
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: 600a34, Size: 4
Operation: S, Address: ff00038c, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000370, Size: 8
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff00038c, Size: 4
Operation: S, Address: 600a74, Size: 4
Operation: M, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff000378, Size: 8
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: 600a38, Size: 4
Operation: S, Address: ff00038c, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000370, Size: 8
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff00038c, Size: 4
Operation: S, Address: 600a84, Size: 4
Operation: M, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff000378, Size: 8
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: 600a3c, Size: 4
Operation: S, Address: ff00038c, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000370, Size: 8
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff00038c, Size: 4
Operation: S, Address: 600a94, Size: 4
Operation: M, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: M, Address: ff000384, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: S, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff000378, Size: 8
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: 600a40, Size: 4
Operation: S, Address: ff00038c, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000370, Size: 8
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff00038c, Size: 4
Operation: S, Address: 600a68, Size: 4
Operation: M, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff000378, Size: 8
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: 600a44, Size: 4
Operation: S, Address: ff00038c, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000370, Size: 8
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff00038c, Size: 4
Operation: S, Address: 600a78, Size: 4
Operation: M, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff000378, Size: 8
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: 600a48, Size: 4
Operation: S, Address: ff00038c, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000370, Size: 8
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff00038c, Size: 4
Operation: S, Address: 600a88, Size: 4
Operation: M, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff000378, Size: 8
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: 600a4c, Size: 4
Operation: S, Address: ff00038c, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000370, Size: 8
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff00038c, Size: 4
Operation: S, Address: 600a98, Size: 4
Operation: M, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: M, Address: ff000384, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: S, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff000378, Size: 8
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: 600a50, Size: 4
Operation: S, Address: ff00038c, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000370, Size: 8
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff00038c, Size: 4
Operation: S, Address: 600a6c, Size: 4
Operation: M, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff000378, Size: 8
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: 600a54, Size: 4
Operation: S, Address: ff00038c, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000370, Size: 8
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff00038c, Size: 4
Operation: S, Address: 600a7c, Size: 4
Operation: M, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff000378, Size: 8
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: 600a58, Size: 4
Operation: S, Address: ff00038c, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000370, Size: 8
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff00038c, Size: 4
Operation: S, Address: 600a8c, Size: 4
Operation: M, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff000378, Size: 8
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: 600a5c, Size: 4
Operation: S, Address: ff00038c, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: L, Address: ff000370, Size: 8
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff00038c, Size: 4
Operation: S, Address: 600a9c, Size: 4
Operation: M, Address: ff000388, Size: 4
Operation: L, Address: ff000388, Size: 4
Operation: M, Address: ff000384, Size: 4
Operation: L, Address: ff000384, Size: 4
Operation: L, Address: ff000390, Size: 8
Operation: L, Address: ff000398, Size: 8
Operation: L, Address: 600aa0, Size: 1
